Company,Location HQ,Industry,# Laid Off,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,List of Employees Laid Off
ContraFect,New York City,Healthcare,16,0.37,2022-08-15T00:00:00.000Z,https://www.benzinga.com/general/biotech/22/08/28497436/contrafect-cuts-workforce-after-trial-setback,380,Post-IPO,2022-08-16T03:52:21.000Z,United States,
ThredUp,Chicago,Retail,,0.15,2022-08-15T00:00:00.000Z,https://www.retaildive.com/news/thredup-lays-off-15-of-its-corporate-workforce-as-q2-losses-widen/629766/,305,Post-IPO,2022-08-16T17:07:51.000Z,United States,
Anywell,"Tel Aviv,Non-U.S.",Real Estate,11,,2022-08-14T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/rkndvd8a5,15,Series A,2022-08-14T23:46:15.000Z,Israel,
Almanac,SF Bay Area,Other,,,2022-08-13T00:00:00.000Z,https://www.linkedin.com/posts/fabien-loup-b60431147_people-of-almanac-needing-a-job-after-layoff-activity-6964159197059899392-mSen/,45,Series A,2022-08-17T20:18:10.000Z,United States,
Peloton,New York City,Fitness,784,0.13,2022-08-12T00:00:00.000Z,https://www.cnbc.com/2022/08/12/peloton-shares-jump-as-company-announces-price-hikes-for-some-products.html,1900,Post-IPO,2022-08-12T17:27:39.000Z,United States,
Core Scientific,Austin,Crypto,,0.1,2022-08-12T00:00:00.000Z,https://blockworks.co/crypto-miner-core-scientific-downsizing-after-840m-impairment-charge/,169,Post-IPO,2022-08-12T17:56:35.000Z,United States,
Orbit,SF Bay Area,Other,,,2022-08-12T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:6963966153341681664/,20,Series A,2022-08-17T20:05:47.000Z,United States,
Truepill,SF Bay Area,Healthcare,175,0.33,2022-08-11T00:00:00.000Z,https://techcrunch.com/2022/08/11/digital-health-unicorn-truepill-conducts-third-round-of-layoffs-in-2022/,255,Series D,2022-08-12T05:14:48.000Z,United States,
Calm,SF Bay Area,Healthcare,90,0.2,2022-08-11T00:00:00.000Z,https://www.wsj.com/articles/meditation-app-calm-lays-off-20-of-staff-11660261492?mod=hp_lista_pos1,218,Series C,2022-08-12T05:08:17.000Z,United States,
FourKites,Chicago,Logistics,60,0.08,2022-08-11T00:00:00.000Z,https://techcrunch.com/2022/08/26/supply-chain-startup-fourkites-which-recently-laid-off-workers-raises-30m/,201,Series D,2022-08-26T21:42:04.000Z,United States,
Marketforce,"Nairobi,Non-U.S.",Retail,54,0.09,2022-08-11T00:00:00.000Z,https://techcrunch.com/2022/08/11/kenyan-b2b-e-commerce-platform-marketforce-cut-about-9-of-staff-in-reorganization-strategy/,42,Series A,2022-08-11T13:36:36.000Z,Kenya,
Betterfly,"Santiago,Non-U.S.",Healthcare,30,,2022-08-11T00:00:00.000Z,https://startups.com.br/noticias/mais-um-unicornio-demitindo-betterfly-faz-reestruturacao-no-brasil/,204,Series C,2022-08-12T17:57:38.000Z,Chile,
Expert360,"Sydney,Non-U.S.",Recruiting,7,,2022-08-11T00:00:00.000Z,https://www.watoday.com.au/technology/startups-staff-to-go-kombucha-and-yoga-can-stay-20220811-p5b8zs.html,26,Series C,2022-08-15T01:17:30.000Z,Australia,
